factors,mean_envy,prop_eps_envy,dataset
64,0.029109038,0.229,movielens
256,0.02264328,0.18,movielens
4,0.06607176,0.7355,movielens
8,0.035946272,0.276,movielens
128,0.026000867,0.1955,movielens
32,0.012386211,0.0355,movielens
2,0.08357305,0.8755,movielens
1,0.09385272,0.9435,movielens
16,0.02089422,0.083,movielens
64,0.3741047,0.8335095137420718,lastfm
256,0.33696443,0.8403805496828752,lastfm
4,0.31705117,0.9392177589852009,lastfm
8,0.22595902,0.8768498942917548,lastfm
128,0.3619553,0.845137420718816,lastfm
32,0.31476775,0.7906976744186046,lastfm
2,0.3575115,0.9603594080338267,lastfm
1,0.3943251,0.976215644820296,lastfm
16,0.19692284,0.8345665961945031,lastfm
