factors,mean_envy,prop_eps_envy,dataset
64,0.15257272,0.8535,movielens
256,0.037702803,0.3535,movielens
4,0.16127868,0.948,movielens
8,0.07386577,0.7255,movielens
128,0.04772664,0.4395,movielens
32,0.023095654,0.1845,movielens
2,0.1995424,0.979,movielens
1,0.22582589,0.9915,movielens
16,0.046778042,0.468,movielens
64,0.3741047,0.8335095137420718,lastfm
256,0.33696443,0.8403805496828752,lastfm
4,0.31705117,0.9392177589852009,lastfm
8,0.22595902,0.8768498942917548,lastfm
128,0.3619553,0.845137420718816,lastfm
32,0.31476775,0.7906976744186046,lastfm
2,0.3575115,0.9603594080338267,lastfm
1,0.3943251,0.976215644820296,lastfm
16,0.19692284,0.8345665961945031,lastfm
